developer_source,developer_target,interaction_type,repo,weight,timestamp
bob_wilson,diana_rodriguez,commit_review,ml-recommendation-engine,3,2025-03-21 07:12:44.255449
alice_martinez,sam_williams,code_review,data-analytics-pipeline,2,2024-12-29 07:12:44.255449
maya_thompson,grace_kim,merge_request,data-analytics-pipeline,5,2025-03-10 07:12:44.255449
charlie_chen,tina_moore,pull_request,notification-system,2,2025-03-28 07:12:44.255449
jack_davis,frank_smith,pull_request,frontend-react-app,2,2025-04-06 07:12:44.255449
alex_clark,eve_johnson,code_review,frontend-react-app,5,2025-05-30 07:12:44.255449
kate_anderson,alice_martinez,issue_comment,backend-api-service,2,2025-04-14 07:12:44.255449
frank_smith,alice_martinez,issue_comment,ml-recommendation-engine,4,2025-03-30 07:12:44.255449
jack_davis,maya_thompson,pull_request,backend-api-service,1,2025-01-17 07:12:44.255449
casey_hall,jordan_lewis,pull_request,auth-microservice,2,2025-03-20 07:12:44.255449
noah_white,alice_martinez,code_review,data-analytics-pipeline,4,2025-02-12 07:12:44.255449
jack_davis,jordan_lewis,issue_comment,frontend-react-app,5,2025-05-29 07:12:44.255449
bob_wilson,sam_williams,pull_request,frontend-react-app,2,2024-12-11 07:12:44.255449
tina_moore,quinn_miller,commit_review,frontend-react-app,2,2025-03-11 07:12:44.255449
jack_davis,noah_white,issue_comment,ml-recommendation-engine,3,2025-01-11 07:12:44.255449
tina_moore,alex_clark,issue_comment,devops-infrastructure,1,2025-03-30 07:12:44.255449
alice_martinez,morgan_young,code_review,devops-infrastructure,3,2025-03-29 07:12:44.255449
sam_williams,olivia_lee,code_review,backend-api-service,1,2025-05-16 07:12:44.255449
peter_jackson,morgan_young,issue_comment,mobile-flutter-app,2,2025-05-19 07:12:44.255449
riley_king,liam_garcia,commit_review,frontend-react-app,2,2025-03-17 07:12:44.255449
eve_johnson,diana_rodriguez,commit_review,devops-infrastructure,3,2024-12-30 07:12:44.255449
casey_hall,ida_taylor,commit_review,auth-microservice,4,2025-01-29 07:12:44.255449
tina_moore,liam_garcia,issue_comment,data-analytics-pipeline,4,2025-02-22 07:12:44.255449
sam_williams,charlie_chen,issue_comment,backend-api-service,1,2025-06-02 07:12:44.255449
quinn_miller,olivia_lee,pull_request,auth-microservice,4,2025-02-13 07:12:44.255449
diana_rodriguez,ida_taylor,pull_request,mobile-flutter-app,5,2025-03-17 07:12:44.255449
morgan_young,henry_brown,issue_comment,data-analytics-pipeline,5,2025-03-08 07:12:44.255449
liam_garcia,noah_white,commit_review,auth-microservice,4,2025-04-23 07:12:44.255449
henry_brown,quinn_miller,pull_request,mobile-flutter-app,1,2025-01-12 07:12:44.255449
alex_clark,frank_smith,code_review,backend-api-service,5,2025-03-12 07:12:44.255449
kate_anderson,peter_jackson,merge_request,frontend-react-app,5,2025-01-24 07:12:44.255449
rosa_lopez,riley_king,code_review,devops-infrastructure,3,2025-05-09 07:12:44.255449
noah_white,jordan_lewis,code_review,mobile-flutter-app,4,2025-01-17 07:12:44.255449
noah_white,sam_williams,pull_request,notification-system,3,2025-01-16 07:12:44.255449
jordan_lewis,morgan_young,issue_comment,backend-api-service,3,2025-03-21 07:12:44.255449
noah_white,sam_williams,code_review,ml-recommendation-engine,5,2024-12-13 07:12:44.255449
quinn_miller,henry_brown,pull_request,mobile-flutter-app,1,2025-04-28 07:12:44.255449
bob_wilson,peter_jackson,issue_comment,backend-api-service,3,2025-01-26 07:12:44.255449
charlie_chen,peter_jackson,merge_request,data-analytics-pipeline,3,2025-05-05 07:12:44.255449
jordan_lewis,olivia_lee,merge_request,data-analytics-pipeline,5,2025-03-01 07:12:44.255449
quinn_miller,bob_wilson,merge_request,devops-infrastructure,5,2025-05-27 07:12:44.255449
eve_johnson,liam_garcia,merge_request,ml-recommendation-engine,4,2025-05-20 07:12:44.255449
bob_wilson,eve_johnson,issue_comment,frontend-react-app,3,2025-01-22 07:12:44.255449
rosa_lopez,peter_jackson,merge_request,devops-infrastructure,1,2025-01-01 07:12:44.255449
rosa_lopez,alice_martinez,merge_request,frontend-react-app,5,2025-01-29 07:12:44.255449
charlie_chen,rosa_lopez,commit_review,frontend-react-app,5,2024-12-09 07:12:44.255449
liam_garcia,eve_johnson,pull_request,auth-microservice,3,2025-01-31 07:12:44.255449
casey_hall,jordan_lewis,pull_request,devops-infrastructure,5,2025-01-16 07:12:44.255449
ida_taylor,rosa_lopez,code_review,data-analytics-pipeline,4,2025-04-27 07:12:44.255449
grace_kim,ida_taylor,code_review,ml-recommendation-engine,5,2025-03-03 07:12:44.255449
sam_williams,jordan_lewis,pull_request,data-analytics-pipeline,3,2025-04-30 07:12:44.255449
